Title,Compound_Score,Positive_Score,Neutral_Score,Negative_Score,Overall_Rated
rocket lab delivers second spacecraft completes third for varda space industries,0.9899,0.101,0.891,0.008,Positive
us stocks estimated to be trading below intrinsic value in december 2024,0.9933,0.144,0.853,0.004,Positive
mission success for rocket labs latest suborbital hypersonic launch,0.9947,0.143,0.84,0.016,Positive
rocket lab sets launch window to deploy synspective satellite,0.8198,0.083,0.863,0.055,Positive
are investors undervaluing rocket lab usa inc nasdaqrklb by 20,0.9971,0.185,0.806,0.009,Positive
rocket lab usa inc rklb a bull case theory,0.993,0.143,0.835,0.022,Positive
anglo american sony rocket lab 3 stocks in focus,0.743,0.08,0.92,0.0,Positive
rocket lab signs 239m chips incentives award to boost semiconductor manufacturing,0.9915,0.106,0.882,0.012,Positive
rocket lab successfully launches two missions in less than 24 hours,0.9924,0.111,0.88,0.009,Positive
10 predictions for the space economy in 2025,0.9831,0.097,0.897,0.006,Positive
rocket lab price target raised to 30 from 25 at roth mkm,0.9493,0.129,0.851,0.02,Positive
is rocket labs nasdaqrklb rally just getting started,0.9981,0.194,0.781,0.024,Positive
rocket lab director sells 967m in shares following a 240 stock price surge,0.9863,0.144,0.852,0.005,Positive
earnings update heres why analysts just lifted their rocket lab usa inc nasdaqrklb price target to us1436,0.9813,0.103,0.859,0.038,Positive
rocket lab stock up by over 30 on q3 earnings results,0.7264,0.084,0.916,0.0,Positive
seven i rocket lab usa directv 3 stories in focus,0.743,0.065,0.935,0.0,Positive
rocket lab soars with 40 stock surge driven by recordbreaking electron launches in q3,0.9433,0.126,0.819,0.054,Positive
rocket lab soars with 24 stock surge driven by recordbreaking electron launches in q3,0.9628,0.133,0.831,0.037,Positive
rocket lab usa inc rklb q3 2024 earnings call highlights strong revenue growth and strategic,0.9861,0.12,0.848,0.032,Positive
rocket lab schedules next launch for constellation operator kineis,0.9934,0.113,0.887,0.0,Positive
rocket lab granted air force research lab award to showcase digital engineering with new archimedes rocket engine,0.9915,0.123,0.861,0.016,Positive
rocket lab signs multilaunch contract for neutron with confidential commercial satellite constellation operator,0.9925,0.114,0.874,0.012,Positive
