id,created_at,text,username,likes,retweets
1868780353466626110,2024-12-16 22:08:51+00:00,"$RKLB 

What an epic end of the year for Electron ! 

$RKLB #RKLB https://t.co/l7gIprMfqw",superjambons,12,0
1868771427270508918,2024-12-16 21:33:23+00:00,@jrouldz Things move fast that’s why I see #RKLB at 100 next year,johhnyWalkerAZ,2,0
1868770861379105230,2024-12-16 21:31:08+00:00,"Wow 😮 +53,000 today 
Look at #IONQ #RKLB and #RGTI !😎🤩👏🏻 I love you man https://t.co/zcCkOgdMw4",johhnyWalkerAZ,18,1
1868742586317598758,2024-12-16 19:38:46+00:00,"$RKLB my hot take for today: if you are pricing in the Mars Sample Return as anything beyond a low probability windfall, your model is flawed.

Plenty of catalysts on the horizon with a much higher likelihood of materializing . 

*cough* SDA *cough*

#rklb #rocketlab",SpaceGhost_42,19,0
1868689357974163496,2024-12-16 16:07:16+00:00,"#IONQ leading the charge , no stopping this company !!
#RKLB kinda treading water https://t.co/zgZ2SaYGKg",johhnyWalkerAZ,11,0
1868638265928298508,2024-12-16 12:44:14+00:00,"@StockSavvyShay As per my opinion the space-industry is going to be huge but jump into it now, still dont know. Even though I allocated small portion of my free cash to space-industry companies including #RKLB 

#investor #akcie",Kam_Investovat,0,0
1868588916288459125,2024-12-16 09:28:09+00:00,"$RKLB 

If the FED doesn’t cut rates at the end of the week and you have excess cash sitting somewhere you’re going to have the best Christmas present ! 🎁 🎄 

$RKLB #RKLB",superjambons,12,0
1868577146320642246,2024-12-16 08:41:22+00:00,"#RKLB
Veteran analyst who forecast Rocket Lab's stock rally updates price target https://t.co/ph1zmcH9TE",andrewsilvagni,0,0
1868468834006671835,2024-12-16 01:30:59+00:00,"How I use Technical Analysis to sell options! 📈🧪

Combine this with stocks you want to own and you'll have a recipe for success!

#OptionsTrading #Optionselling #HIMS #RKLB #NVDA

A Thread 🧵",BrinkTrading,0,0
1868405207639732374,2024-12-15 21:18:09+00:00,@heywhatsyourpur Im 48. #rklb #pltr #tsla and the S&amp;P. Prob a few others im missing but im learning late in life.,Christo43928619,3,0
1868390386739343742,2024-12-15 20:19:15+00:00,"Impressive🌊, Jingle Bells all the Way #RKLB 🎄 https://t.co/OEuZ61vlxK",StingerNSW,1,0
1868355009928458439,2024-12-15 17:58:41+00:00,"Insane how I used to look forward to weekends just over a year ago. 
#stockmarket #rklb #lunr https://t.co/Bk0ClmtC6W",boltsimps,1,0
1868340912079978541,2024-12-15 17:02:40+00:00,"RT @johhnyWalkerAZ: I’m going to sell my 10,000 in #LMT (Lockheed Martin)
What should I buy. 
Thinking #RKLB #IONQ #RGTI 
Anything else ?",greenleague,0,1
1868327610461135104,2024-12-15 16:09:48+00:00,"Replace ‘SpaceX’ with ‘Yahoo’ and this was every ‘smart’ investor in 1999. Confidently calling the trajectory of an industry in its infancy is a fool’s errand. 

#RKLB #RocketLab $rklb https://t.co/gsqOxUyfaS",SpaceGhost_42,2,0
1868175334266511778,2024-12-15 06:04:43+00:00,"@Frobessss @RealMattMoney @RocketLab @elonmusk @nvidia Let’s call Musk’s space company , by 2035 he can build another new optimized version of starship . 

Musk at #1 and #RKLB at #2 . 
It will all be fun for all of us in this Golden age of USA.",DaringInvestor,1,0
1868157271055667701,2024-12-15 04:52:56+00:00,"Just saw a guy in the bar wearing a $RKLB #RKLB sweatshirt. If that isn’t a good sign of things to come as we head into the new year then I don’t know what is. 

$SPY
#SPY
$NVDA
#NVDA
$QQQ
#QQQ",BootInvestments,3,0
1868077367882903848,2024-12-14 23:35:26+00:00,"I’m going to sell my 10,000 in #LMT (Lockheed Martin)
What should I buy. 
Thinking #RKLB #IONQ #RGTI 
Anything else ?",johhnyWalkerAZ,19,1
1868058872109285581,2024-12-14 22:21:56+00:00,I just paid $18 for a smoothie. The boom is back. I haven’t bought a smoothie since Trulieve was $52 many moons ago. #pltr #rklb,markallentc,0,0
1867956463110635531,2024-12-14 15:35:00+00:00,"RKLB, Rocket Lab USA, Inc., 2024-12-13, stock prices dynamics, stock of the day #RKLB #RocketLab

https://t.co/4NxSFiwcxN",datacharm_yt,0,0
1867941934838464818,2024-12-14 14:37:16+00:00,"The Ultimate Space Stock to Buy With $1,000 Right Now

$tsat #rklb #telesat #leo #cash #esa",panterageorgio,0,0
